,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,5254183216,Afternoon Walk,2021-05-06T16:42:03Z,Walk,1557.2,1403,1403,66.6,"[37.793556, -122.439163]",garmin_push_6735184313
1,5254185435,Afternoon Run,2021-05-06T15:32:34Z,Run,7452.2,2426,2555,75.2,"[37.792493, -122.452101]",garmin_push_6735186156
2,5253814390,Afternoon Walk,2021-05-06T14:54:56Z,Walk,1501.2,1058,1058,34.0,"[37.792936, -122.45332]",garmin_push_6734865806
3,5248050503,Lunch Activity,2021-05-05T12:14:19Z,Workout,1149.6,1937,1937,0,,garmin_push_6729012695
4,5248049483,Morning Walk,2021-05-05T08:30:34Z,Walk,10466.3,7393,12064,173.0,"[37.793474, -122.439079]",garmin_push_6729011392
5,5248044327,Afternoon Walk,2021-05-04T15:23:09Z,Walk,8541.8,5994,7941,183.1,"[37.793484, -122.439138]",garmin_push_6729006102
6,5238293173,Afternoon Walk,2021-05-03T16:44:59Z,Walk,3789.7,3060,3060,136.4,"[37.793502, -122.439167]",garmin_push_6718802290
7,5237967149,HIIT boxing,2021-05-03T15:12:53Z,Workout,2764.2,2736,2736,0,,garmin_push_6718501881
8,5231838892,Morning Walk,2021-05-02T07:33:16Z,Walk,10040.3,7585,10657,185.8,"[37.793472, -122.439197]",garmin_push_6712059715
9,5231831144,Afternoon Run,2021-05-01T17:44:39Z,Run,554.7,194,283,0.0,"[37.766297, -122.45501]",garmin_push_6712052209
10,5231830687,Afternoon Run,2021-05-01T15:04:51Z,Run,1141.0,409,478,4.2,"[37.766202, -122.455639]",garmin_push_6712051868
11,5231830239,Afternoon Run,2021-05-01T13:56:48Z,Run,1632.2,573,769,7.5,"[37.766288, -122.455531]",garmin_push_6712051365
12,5231829555,Afternoon Run,2021-04-30T15:45:42Z,Run,3255.5,1201,1753,60.3,"[37.793062, -122.453291]",garmin_push_6712050682
13,5214860261,Morning Walk,2021-04-29T10:46:36Z,Walk,9155.3,6376,8079,166.8,"[37.793591, -122.439214]",793B1065-3993-49CB-B790-D6C3B5F4E24E-activity.fit
14,5210448485,Afternoon Run,2021-04-28T15:57:06Z,Run,3588.6,1227,1227,38.5,"[37.792269, -122.453258]",garmin_push_6690487424
15,5204700054,Afternoon Run,2021-04-27T15:54:05Z,Run,1501.7,554,698,13.8,"[37.767229, -122.456989]",garmin_push_6684605555
16,5204699546,Afternoon Run,2021-04-27T15:23:37Z,Run,1356.5,259,1055,0.0,"[37.766522, -122.455443]",garmin_push_6684605146
17,5204699315,Afternoon Run,2021-04-27T15:00:50Z,Run,1562.2,540,814,23.4,"[37.766462, -122.457108]",garmin_push_6684604970
